NO.,DESCRIPTION ,PROJECT,UNIT,HARGA , SUPPLIER
1,KABEL NYYHY 4 X 2.5,067/25, MTR,"Rp35,000", BORNEO
2,KABEL YSLY 10 X 0.5,067/25, MTR,"Rp26,000", CIKARANG LISTRIK
3,"FLEXSIBLE CONDUIT 1/2""",067/25, MTR,"Rp12,000", BORNEO
4,"GLEN KABEL BESI 1/2""",067/25, PCS,"Rp11,000", BORNEO
5,"KAWAT LAS UMPAN ⌀ 1,6 STAINLESS",STOCK UPE,KG,"Rp125,000", BORNEO
6,TUNGSTEN ⌀ 2.4,UPE, PCS,"Rp20,000", BORNEO
7,STOP KONTAK BROCO 4 LUBANG,UPE, PCS,"Rp40,000", BORNEO
8,INSHERT MILLING (SAMPLE),UPE, PCS,"Rp15,000", ELOK TEKNIK
9,"CUTTING 4"" STEEL",UPE, PCS,"Rp2,500", BORNEO
10,"LAKBAN KERTAS 1""",UPE, PCS,"Rp8,000", BORNEO
11,"SARUNG TANGAN ABU""",UPE,LSN,"Rp19,000", BORNEO
12,KUNCI RING PAS 10,UPE, PCS,"Rp15,000", BORNEO
13,KUNCI RING PAS 17,UPE, PCS,"Rp25,000", BORNEO
14,AMPLAS #100 BELT - 100X915mm,UPE,LBR,"Rp15,000", BORNEO
15,speed control tube 6x1/8 ,079/25, PCS,"Rp47,000", HOKI
16,reducer tube 6x8 ,079/25, PCS,"Rp9,000", HOKI
17,tubbing hitam 6 mm ,079/25, MTR,"Rp6,000", HOKI
18,baut L m8x40,079/25, PCS,"Rp1,200", BORNEO
19,baut Lbutton m8x15,079/25, PCS,Rp950, BORNEO
20,bautL m5x15,079/25, PCS,Rp500, BORNEO
21,baut Lm 8x15 + ring,079/25, PCS,"Rp1,300", BORNEO
22,bautL m8x20 + ring,079/25, PCS,Rp950, BORNEO
23,baut Lm6x55,079/25, PCS,"Rp1,000", BORNEO
24,ANCHOR BOLT 10x60,079/25, PCS,"Rp11,500", BORNEO
25,MATA BOR GRANIT M6,RAILING TANGGA STAINLESS - ASA, PCS,"Rp20,000", EKA JAYA
26,MATA BOR BETON M6,RAILING TANGGA STAINLESS - ASA, PCS,"Rp25,000", INDAH JAYA
27,"MATA POLES SCCOTE BRITE 4""",RAILING TANGGA STAINLESS - ASA, PCS,"Rp10,000", BORNEO
28,"MATA POLES WOL/KAIN 4""",RAILING TANGGA STAINLESS - ASA, PCS,"Rp10,000", BORNEO
29,ANCHOR BOLT 6X50,RAILING TANGGA STAINLESS - ASA, PCS,"Rp7,000", BORNEO
30,"TUTUP PIPA RING BULAT 2"" STAINLESS",RAILING TANGGA STAINLESS - ASA, PCS,"Rp26,000", TANAMAS
31,SEMEN PUTIH,RAILING TANGGA STAINLESS - ASA,KG,"Rp4,000", INDAH JAYA
32,"Gerinda potong 4""",UPE - CUTTING TOOLS, PCS,"Rp2,500", BORNEO
33,"Gerinda flexible 4""",UPE - CUTTING TOOLS, PCS,"Rp8,000", BORNEO
34,Sarung tangan abu 5 Benang,UPE - CUTTING TOOLS,LSN,"Rp19,000", BORNEO
35,Masker,UPE - CUTTING TOOLS,BOX,"Rp20,000", BORNEO
36,Spidol marking,UPE - CUTTING TOOLS, PCS,"Rp15,000", BORNEO
37,"Cutting wheel 16""",UPE - CUTTING TOOLS, PCS,"Rp60,000", BORNEO
38,HOLE SAW ⌀ 22,UPE - CUTTING TOOLS, PCS,"Rp45,000", BORNEO
39,KABEL TIES 250 HITAM,067/25, PACK,"Rp25,000", BORNEO
